"transactionid","date","transType","meterReading","prevReading","usage","contypeid","discountcode","bill","is_billpaid","month","year","receivedamt","payment","processedBy","or_number","acctID_id","penaltyCode_id"
"133112","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","25",None,"liza1973","9963464","0000001180-01",None
"133113","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25","liza1973","","0000001180-01",None
"133114","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","25",None,"liza1973","9963464","0000001180-01",None
"133115","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"79","liza1973","","0000001885-01",None
"133116","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","79",None,"liza1973","9963469","0000001885-01",None
"133117","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"25","liza1973","","0000001885-01",None
"133118","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","25",None,"liza1973","9963469","0000001885-01",None
"133119","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25","liza1973","","0000001885-01",None
"133120","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","25",None,"liza1973","9963469","0000001885-01",None
"133121","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"37","liza1973","","0000000991-01",None
"133122","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","37",None,"liza1973","9963470","0000000991-01",None
"133123","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"25","liza1973","","0000000991-01",None
"133124","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","25",None,"liza1973","9963470","0000000991-01",None
"133125","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25","liza1973","","0000000991-01",None
"133126","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","25",None,"liza1973","9963470","0000000991-01",None
"133127","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","liza1973","","0000001648-01",None
"133128","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"liza1973","9963472","0000001648-01",None
"133129","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","liza1973","","0000000208-01",None
"133130","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"liza1973","9963473","0000000208-01",None
"133131","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"12505","liza1973","","0000000448-01",None
"133132","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","12505",None,"liza1973","9963473","0000000448-01",None
"133133","2023-02-16","Billing","14975","14975","0","C001",None,"25","1","1","2023",None,"0","liza1973","","0000000692-01",None
"133134","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","liza1973","","0000001651-01",None
"133135","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"liza1973","9963474","0000001651-01",None
"133136","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"124","liza1973","","0000001515-01",None
"133137","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","124",None,"liza1973","9963475","0000001515-01",None
"133138","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"220","liza1973","","0000001515-01",None
"133139","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","220",None,"liza1973","9963475","0000001515-01",None
"133140","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"115","liza1973","","0000001515-01",None
"133141","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","115",None,"liza1973","9963475","0000001515-01",None
"133142","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"205","liza1973","","0000000413-01",None
"133143","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","205",None,"liza1973","9963476","0000000413-01",None
"133144","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"22837","liza1973","","0000000413-01",None
"133145","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","22837",None,"liza1973","9963476","0000000413-01",None
"133146","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"23005","liza1973","","0000000076-01",None
"133147","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","23005",None,"liza1973","9963478","0000000076-01",None
"133148","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","50",None,"liza1973","123","0000000692-01",None
"133149","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25",None,"","0000000692-01",None
"133150","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25",None,"","0000000692-01",None
"133151","2023-02-16","Payment",None,None,None,None,None,None,"0","6","2022",None,"25","liza1973","","0000000692-01",None
"133152","2023-02-16","Received Amount",None,None,None,None,None,None,"0","6","2022","25",None,"liza1973","9963837","0000000692-01",None
"133153","2023-02-16","Payment",None,None,None,None,None,None,"0","8","2022",None,"25","liza1973","","0000000692-01",None
"133154","2023-02-16","Received Amount",None,None,None,None,None,None,"0","8","2022","25",None,"liza1973","9963837","0000000692-01",None
"133155","2023-02-16","Billing","291","291","0","C001",None,"25","1","12","2022",None,"0","liza1973","","0000001188-01",None
"133156","2023-02-16","Billing","300","291","9","C001",None,"25","1","1","2023",None,"0","liza1973","","0000001188-01",None
"133157","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","75",None,"liza1973","9963839","0000001188-01",None
"133158","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25",None,"","0000001188-01",None
"133159","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25",None,"","0000001188-01",None
"133160","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"25",None,"","0000001188-01",None
"133161","2023-02-16","Billing","178","176","2","C001",None,"25","1","1","2023",None,"0","liza1973","","0000002010-01",None
"133162","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","liza1973","","0000002010-01",None
"133163","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"liza1973","9963478","0000002010-01",None
"133164","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"49","liza1973","","0000001770-01",None
"133165","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","49",None,"liza1973","9963479","0000001770-01",None
"133166","2023-02-16","Payment",None,None,None,None,None,None,"0","10","2022",None,"25","liza1973","","0000001770-01",None
"133167","2023-02-16","Received Amount",None,None,None,None,None,None,"0","10","2022","25",None,"liza1973","9963479","0000001770-01",None
"133168","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"25","liza1973","","0000001770-01",None
"133169","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","25",None,"liza1973","9963479","0000001770-01",None
"133170","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25","liza1973","","0000001770-01",None
"133171","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","25",None,"liza1973","9963479","0000001770-01",None
"133172","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","liza1973","","0000002114-01",None
"133173","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"liza1973","9963480","0000002114-01",None
"133174","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25","liza1973","","0000002114-01",None
"133175","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","25",None,"liza1973","9963480","0000002114-01",None
"133176","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","liza1973","","0000001393-01",None
"133177","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"liza1973","9963481","0000001393-01",None
"133178","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"25","liza1973","","0000001393-01",None
"133179","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","25",None,"liza1973","9963481","0000001393-01",None
"133180","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25","liza1973","","0000001393-01",None
"133181","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","25",None,"liza1973","9963481","0000001393-01",None
"133182","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","115",None,"liza1973","9963843-paid january","0000000932-01",None
"133183","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"25",None,"","0000000932-01",None
"133184","2023-02-16","Payment",None,None,None,None,None,None,"0","9","2022",None,"25",None,"","0000000932-01",None
"133185","2023-02-16","Payment",None,None,None,None,None,None,"0","7","2022",None,"25",None,"","0000000932-01",None
"133186","2023-02-16","Payment",None,None,None,None,None,None,"0","6","2020",None,"25",None,"","0000000932-01",None
"133187","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","liza1973","","0000001139-01",None
"133188","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"liza1973","9963484","0000001139-01",None
"133189","2023-02-16","Billing","8912","8912","0","C001",None,"25","1","12","2022",None,"0","liza1973","","0000000932-01",None
"133190","2023-02-16","Billing","8912","8912","0","C001",None,"25","1","1","2023",None,"0","liza1973","","0000000932-01",None
"133191","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25","liza1973","","0000001707-01",None
"133192","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","25",None,"liza1973","9963485","0000001707-01",None
"133193","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","115",None,"liza1973","9963843-paid january","0000000932-01",None
"133194","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25",None,"","0000000932-01",None
"133195","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25",None,"","0000000932-01",None
"133196","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","liza1973","","0000001707-01",None
"133197","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"liza1973","9963485","0000001707-01",None
"133198","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"9595","liza1973","","0000001105-01",None
"133199","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","9595",None,"liza1973","9963487","0000001105-01",None
"133200","2023-02-16","Billing","854","835","19","C001",None,"25","1","1","2023",None,"0","liza1973","","0000001736-01",None
"133201","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","liza1973","","0000001736-01",None
"133202","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"liza1973","9963489","0000001736-01",None
"133203","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"25","liza1973","","0000001736-01",None
"133204","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","25",None,"liza1973","9963489","0000001736-01",None
"133205","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"40","liza1973","","0000001736-01",None
"133206","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","40",None,"liza1973","9963489","0000001736-01",None
"133207","2023-02-16","Billing","1445","1445","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000931-01",None
"133208","2023-02-16","Payment",None,None,None,None,None,None,"0","9","2022",None,"25","liza1973","","0000000693-01",None
"133209","2023-02-16","Received Amount",None,None,None,None,None,None,"0","9","2022","25",None,"liza1973","9958203","0000000693-01",None
"133210","2023-02-16","Payment",None,None,None,None,None,None,"0","6","2022",None,"25","liza1973","","0000000693-01",None
"133211","2023-02-16","Received Amount",None,None,None,None,None,None,"0","6","2022","25",None,"liza1973","9958203","0000000693-01",None
"133212","2023-02-16","Payment",None,None,None,None,None,None,"0","8","2022",None,"25","liza1973","","0000000693-01",None
"133213","2023-02-16","Received Amount",None,None,None,None,None,None,"0","8","2022","25",None,"liza1973","9958203","0000000693-01",None
"133214","2023-02-16","Payment",None,None,None,None,None,None,"0","10","2022",None,"25","liza1973","","0000000693-01",None
"133215","2023-02-16","Received Amount",None,None,None,None,None,None,"0","10","2022","25",None,"liza1973","9958203","0000000693-01",None
"133216","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","50",None,"liza1973","9963490-paid jan 2023","0000000115-01",None
"133217","2023-02-16","Payment",None,None,None,None,None,None,"0","6","2020",None,"25",None,"","0000000115-01",None
"133218","2023-02-16","Payment",None,None,None,None,None,None,"0","6","2019",None,"25",None,"","0000000115-01",None
"133219","2023-02-16","Billing","757","738","19","C001",None,"25","1","1","2023",None,"0","liza1973","","0000001599-01",None
"133220","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","liza1973","","0000001599-01",None
"133221","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"liza1973","9963492","0000001599-01",None
"133222","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","liza1973","","0000001377-01",None
"133223","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"liza1973","9963496","0000001377-01",None
"133224","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25","liza1973","","0000001377-01",None
"133225","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","25",None,"liza1973","9963496","0000001377-01",None
"133226","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","liza1973","","0000001129-01",None
"133227","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"liza1973","9963497","0000001129-01",None
"133228","2023-02-16","Payment",None,None,None,None,None,None,"0","10","2022",None,"25","liza1973","","0000001129-01",None
"133229","2023-02-16","Received Amount",None,None,None,None,None,None,"0","10","2022","25",None,"liza1973","9963497","0000001129-01",None
"133230","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"37","liza1973","","0000001129-01",None
"133231","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","37",None,"liza1973","9963497","0000001129-01",None
"133232","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25","liza1973","","0000001129-01",None
"133233","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","25",None,"liza1973","9963497","0000001129-01",None
"133234","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","12979",None,"ryanbohol","9963749","0000000899-01",None
"133235","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"12904",None,"","0000000899-01",None
"133236","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25",None,"","0000000899-01",None
"133237","2023-02-16","Payment",None,None,None,None,None,None,"0","6","2020",None,"25",None,"","0000000899-01",None
"133238","2023-02-16","Payment",None,None,None,None,None,None,"0","6","2019",None,"25",None,"","0000000899-01",None
"133239","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","25",None,"ryanbohol","9963750","0000000607-01",None
"133240","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25",None,"","0000000607-01",None
"133241","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","111",None,"ryanbohol","9963901","0000001489-01",None
"133242","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"55","ryanbohol","","0000001489-01",None
"133243","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","55",None,"ryanbohol","9963901","0000001489-01",None
"133244","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"31","ryanbohol","","0000001489-01",None
"133245","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","31",None,"ryanbohol","9963901","0000001489-01",None
"133246","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"5242","ryanbohol","","0000001489-01",None
"133247","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","5242",None,"ryanbohol","9963901","0000001489-01",None
"133248","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","73",None,"liza1973","9961123","0000000272-01",None
"133249","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"43",None,"","0000000272-01",None
"133250","2023-02-16","Payment",None,None,None,None,None,None,"0","9","2022",None,"397","liza1973","","0000001630-01",None
"133251","2023-02-16","Received Amount",None,None,None,None,None,None,"0","9","2022","397",None,"liza1973","9963095","0000001630-01",None
"133252","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","liza1973","","0000002064-01",None
"133253","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"liza1973","9963096","0000002064-01",None
"133254","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25","liza1973","","0000002064-01",None
"133255","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","25",None,"liza1973","9963096","0000002064-01",None
"133256","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"82","liza1973","","0000001639-01",None
"133257","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","82",None,"liza1973","9963097","0000001639-01",None
"133258","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"28","liza1973","","0000001639-01",None
"133259","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","28",None,"liza1973","9963097","0000001639-01",None
"133260","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"61","liza1973","","0000001639-01",None
"133261","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","61",None,"liza1973","9963097","0000001639-01",None
"133262","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","liza1973","","0000001821-01",None
"133263","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"liza1973","9963099","0000001821-01",None
"133264","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"40","liza1973","","0000001821-01",None
"133265","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","40",None,"liza1973","9963099","0000001821-01",None
"133266","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25","liza1973","","0000001821-01",None
"133267","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","25",None,"liza1973","9963099","0000001821-01",None
"133268","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25","zen1971","","0000001719-01",None
"133269","2023-02-16","Received Amount",None,None,None,None,None,None,"0","1","2023","25",None,"zen1971","9963856","0000001719-01",None
"133270","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","50",None,"zen1971","9963856","0000001719-01",None
"133271","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25",None,"","0000001719-01",None
"133272","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"34","zen1971","","0000001719-01",None
"133273","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","34",None,"zen1971","9963856","0000001719-01",None
"133274","2023-02-16","Payment",None,None,None,None,None,None,"0","9","2022",None,"25","liza1973","","0000001657-01",None
"133275","2023-02-16","Received Amount",None,None,None,None,None,None,"0","9","2022","25",None,"liza1973","123","0000001657-01",None
"133276","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25","ryanbohol","","0000001610-01",None
"133277","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","25",None,"ryanbohol","996119","0000001610-01",None
"133278","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","75",None,"liza1973","9963958","0000001657-01",None
"133279","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25",None,"","0000001657-01",None
"133280","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25",None,"","0000001657-01",None
"133281","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"25",None,"","0000001657-01",None
"133282","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25","ryanbohol","","0000000793-01",None
"133283","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","25",None,"ryanbohol","9961118","0000000793-01",None
"133284","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","25",None,"ryanbohol","9961118","0000001610-01",None
"133285","2023-02-16","Payment",None,None,None,None,None,None,"0","6","2020",None,"25",None,"","0000001610-01",None
"133286","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","25",None,"ryanbohol","9961118","0000000793-01",None
"133287","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25",None,"","0000000793-01",None
"133288","2023-02-16","Billing","4098","4060","38","C001",None,"79","0","1","2023",None,"0","zen1971","","0000000921-01",None
"133289","2023-02-16","Billing","3182","3128","54","C001",None,"127","0","1","2023",None,"0","zen1971","","0000000922-01",None
"133290","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","1301",None,"liza1973","123","0000001184-01",None
"133291","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"1201",None,"","0000001184-01",None
"133292","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"25",None,"","0000001184-01",None
"133293","2023-02-16","Payment",None,None,None,None,None,None,"0","10","2022",None,"25",None,"","0000001184-01",None
"133294","2023-02-16","Payment",None,None,None,None,None,None,"0","6","2022",None,"25",None,"","0000001184-01",None
"133295","2023-02-16","Payment",None,None,None,None,None,None,"0","6","2020",None,"25",None,"","0000001184-01",None
"133296","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","25",None,"liza1973","9963960","0000001184-01",None
"133297","2023-02-16","Payment",None,None,None,None,None,None,"0","6","2019",None,"25",None,"","0000001184-01",None
"133298","2023-02-16","Billing","2416","2379","37","C001",None,"76","0","1","2023",None,"0","zen1971","","0000000923-01",None
"133299","2023-02-16","Billing","1412","1364","48","C001",None,"109","0","1","2023",None,"0","zen1971","","0000000924-01",None
"133300","2023-02-16","Billing","1819","1819","0","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000926-01",None
"133301","2023-02-16","Billing","0","1064","0","C001",None,"25","0","1","2023",None,"0","zen1971","","0000001355-01",None
"133302","2023-02-16","Billing","573","0","0","C001",None,"1684","0","1","2023",None,"0","liza1973","","0000001357-01",None
"133303","2023-02-16","Billing","1921","1892","-1892","C001",None,"25","0","1","2023",None,"0","zen1971","","0000001359-01",None
"133304","2023-02-16","Billing","3714","3701","-3701","C001",None,"25","0","1","2023",None,"0","zen1971","","0000001350-01",None
"133305","2023-02-16","Billing","0","0","0","C001",None,"25","0","1","2023",None,"0","zen1971","","0000001353-01",None
"133306","2023-02-16","Billing","0","0","0","C001",None,"25","0","1","2023",None,"0","zen1971","","0000001352-01",None
"133307","2023-02-16","Billing","877","849","28","C001",None,"49","0","1","2023",None,"0","zen1971","","0000000925-01",None
"133308","2023-02-16","Billing","1077","989","88","C001",None,"229","0","1","2023",None,"0","zen1971","","0000000702-01",None
"133309","2023-02-16","Billing","6600","6600","0","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000929-01",None
"133310","2023-02-16","Billing","1575","1484","91","C001",None,"238","0","1","2023",None,"0","zen1971","","0000001247-01",None
"133311","2023-02-16","Billing","410","404","-404","C001",None,"25","0","1","2023",None,"0","zen1971","","0000001297-01",None
"133312","2023-02-16","Billing","0","1668","1688","C001",None,"5029","0","12","2023",None,"0","zen1971","","0000001119-01",None
"133313","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","343",None,"zen1971","9963860","0000001653-01",None
"133314","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"343",None,"","0000001653-01",None
"133315","2023-02-16","Billing","1695","1688","7","C001",None,"25","0","1","2023",None,"0","zen1971","","0000001119-01",None
"133316","2023-02-16","Billing","313","309","4","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000934-01",None
"133317","2023-02-16","Billing","13659","13525","134","C001",None,"367","0","1","2023",None,"0","zen1971","","0000000936-01",None
"133318","2023-02-16","Billing","0","1834","-1834","C001",None,"25","0","1","2023",None,"0","zen1971","","0000001466-01",None
"133319","2023-02-16","Billing","5953","5949","4","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000937-01",None
"133320","2023-02-16","Billing","2696","2683","13","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000938-01",None
"133321","2023-02-16","Billing","216","213","3","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000939-01",None
"133322","2023-02-16","Billing","10120","10120","0","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000940-01",None
"133323","2023-02-16","Billing","6290","6272","18","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000949-01",None
"133324","2023-02-16","Billing","8423","8399","24","C001",None,"37","0","1","2023",None,"0","zen1971","","0000000943-01",None
"133325","2023-02-16","Billing","734","734","0","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000942-01",None
"133326","2023-02-16","Billing","3453","3436","17","C001",None,"25","0","1","2023",None,"0","zen1971","","0000000944-01",None
"133327","2023-02-16","Billing","10977","10919","58","C001",None,"139","0","1","2023",None,"0","zen1971","","0000000945-01",None
"133328","2023-02-16","Payment",None,None,None,None,None,None,"0","10","2022",None,"25","liza1973","","0000002070-01",None
"133329","2023-02-16","Received Amount",None,None,None,None,None,None,"0","10","2022","25",None,"liza1973","9963961","0000002070-01",None
"133330","2023-02-16","Payment",None,None,None,None,None,None,"0","11","2022",None,"25","liza1973","","0000002070-01",None
"133331","2023-02-16","Received Amount",None,None,None,None,None,None,"0","11","2022","25",None,"liza1973","9963961","0000002070-01",None
"133332","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25","liza1973","","0000002070-01",None
"133333","2023-02-16","Received Amount",None,None,None,None,None,None,"0","12","2022","25",None,"liza1973","9963961","0000002070-01",None
"133334","2023-02-16","Billing","1329","1318","11","C001",None,"25","1","1","2023",None,"0","liza1973","","0000001277-01",None
"133335","2023-02-16","Received Amount",None,None,None,None,None,None,"0","2","2023","50",None,"liza1973","9963962","0000001277-01",None
"133336","2023-02-16","Payment",None,None,None,None,None,None,"0","1","2023",None,"25",None,"","0000001277-01",None
"133337","2023-02-16","Payment",None,None,None,None,None,None,"0","12","2022",None,"25",None,"","0000001277-01",None
"133338","2023-02-16","Billing","997","983","14","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001304-01",None
"133339","2023-02-16","Billing","886","885","1","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001307-01",None
"133340","2023-02-16","Billing","578","578","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001313-01",None
"133341","2023-02-16","Billing","470","468","2","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001314-01",None
"133342","2023-02-16","Billing","1636","1588","48","C001",None,"109","0","1","2023",None,"0","liza1973","","0000001549-01",None
"133343","2023-02-16","Billing","966","889","77","C001",None,"196","0","1","2023",None,"0","liza1973","","0000001550-01",None
"133344","2023-02-16","Billing","832","793","39","C001",None,"82","0","1","2023",None,"0","liza1973","","0000001551-01",None
"133345","2023-02-16","Billing","1058","1035","23","C001",None,"34","0","1","2023",None,"0","liza1973","","0000001567-01",None
"133346","2023-02-16","Billing","2280","2252","28","C001",None,"49","0","1","2023",None,"0","liza1973","","0000001574-01",None
"133347","2023-02-16","Billing","1633","1628","5","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001598-01",None
"133348","2023-02-16","Billing","1628","1628","0","C001",None,"25","0","12","2022",None,"0","liza1973","","0000001598-01",None
"133349","2023-02-16","Billing","404","381","23","C001",None,"34","0","1","2023",None,"0","liza1973","","0000001612-01",None
"133350","2023-02-16","Billing","1598","1559","39","C001",None,"82","0","1","2023",None,"0","liza1973","","0000001613-01",None
"133351","2023-02-16","Billing","596","588","8","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001687-01",None
"133352","2023-02-16","Billing","1538","1464","74","C001",None,"187","0","1","2023",None,"0","liza1973","","0000001716-01",None
"133353","2023-02-16","Billing","779","778","1","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001790-01",None
"133354","2023-02-16","Billing","1421","1409","12","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000698-01",None
